Time,Bms_Life,SumVoltage,Current,SOC,ChgMOS,DisChgMOS,SerialNum,TempNum,RemainCap,MaxV,MaxV_No,MinV,MinV_No,MaxT,MaxT_No,MinT,MinT_No,CellV_1,CellV_2,CellV_3,CellV_4,CellV_5,CellV_6,CellV_7,CellV_8,CellV_9,CellV_10,CellV_11,CellV_12,CellV_13,CellV_14,CellV_15,Temp_1,ErrCode1,ErrCode2,ErrCode3,ErrCode4,ErrCode5,ErrCode6,ErrCode7,ErrCode8,CycleTime,DI1,DI2,DI3,DI4,DO1,DO2,DO3,DO4,BoardNum
4:45:53 PM,146,48.4,0,28,ON,ON,15,1,3.36,3.239,5,3.213,11,24,1,24,1,3.231,3.235,3.241,3.237,3.241,3.231,3.233,3.235,3.237,3.235,3.213,3.227,3.225,3.235,3.239,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:45:54 PM,147,48.4,0,28,ON,ON,15,1,3.36,3.241,5,3.215,11,24,1,24,1,3.233,3.236,3.241,3.238,3.241,3.233,3.235,3.235,3.239,3.235,3.215,3.228,3.225,3.237,3.239,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:45:55 PM,148,48.5,0,28,ON,ON,15,1,3.36,3.241,5,3.215,11,24,1,24,1,3.233,3.237,3.243,3.239,3.241,3.233,3.235,3.237,3.239,3.235,3.216,3.229,3.227,3.237,3.239,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:45:56 PM,150,48.5,0,28,ON,ON,15,1,3.36,3.243,3,3.217,11,24,1,24,1,3.235,3.237,3.243,3.239,3.243,3.234,3.235,3.237,3.239,3.237,3.217,3.229,3.227,3.239,3.241,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:45:57 PM,151,48.5,0,28,ON,ON,15,1,3.36,3.243,5,3.217,11,24,1,24,1,3.235,3.237,3.243,3.239,3.243,3.234,3.235,3.237,3.239,3.237,3.217,3.229,3.227,3.239,3.241,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:45:58 PM,152,48.5,0,28,ON,ON,15,1,3.36,3.243,5,3.217,11,24,1,24,1,3.235,3.239,3.243,3.239,3.243,3.235,3.237,3.239,3.241,3.237,3.217,3.229,3.227,3.239,3.241,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:45:59 PM,153,48.5,0,28,ON,ON,15,1,3.36,3.245,3,3.219,11,24,1,24,1,3.235,3.239,3.245,3.241,3.243,3.235,3.237,3.239,3.241,3.239,3.219,3.231,3.229,3.239,3.241,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:46:01 PM,154,48.5,0,28,ON,ON,15,1,3.36,3.245,5,3.221,11,24,1,24,1,3.237,3.241,3.245,3.241,3.245,3.237,3.239,3.239,3.243,3.239,3.221,3.233,3.229,3.241,3.243,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:46:02 PM,155,48.3,-2.9,28,ON,ON,15,1,3.36,3.228,3,3.205,11,24,1,24,1,3.227,3.232,3.238,3.234,3.236,3.23,3.232,3.233,3.236,3.234,3.214,3.226,3.222,3.234,3.235,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:46:03 PM,156,48.2,-3.3,28,ON,ON,15,1,3.36,3.228,3,3.205,11,24,1,24,1,3.211,3.217,3.224,3.219,3.222,3.216,3.218,3.218,3.223,3.22,3.2,3.211,3.209,3.222,3.22,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
