Time,Bms_Life,SumVoltage,Current,SOC,ChgMOS,DisChgMOS,SerialNum,TempNum,RemainCap,MaxV,MaxV_No,MinV,MinV_No,MaxT,MaxT_No,MinT,MinT_No,CellV_1,CellV_2,CellV_3,CellV_4,CellV_5,CellV_6,CellV_7,CellV_8,CellV_9,CellV_10,CellV_11,CellV_12,CellV_13,CellV_14,CellV_15,Temp_1,ErrCode1,ErrCode2,ErrCode3,ErrCode4,ErrCode5,ErrCode6,ErrCode7,ErrCode8,CycleTime,DI1,DI2,DI3,DI4,DO1,DO2,DO3,DO4,BoardNum
4:31:52 PM,126,49.5,0,41.2,ON,ON,15,1,4.944,3.301,14,3.299,15,24,1,24,1,3.301,3.3,3.301,3.3,3.301,3.301,3.301,3.301,3.301,3.3,3.3,3.3,3.301,3.3,3.299,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:31:53 PM,127,49.5,0,41.2,ON,ON,15,1,4.944,3.301,14,3.299,15,24,1,24,1,3.3,3.3,3.301,3.3,3.3,3.3,3.301,3.3,3.3,3.301,3.3,3.3,3.3,3.3,3.299,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:31:54 PM,128,49.5,0,41.2,ON,ON,15,1,4.944,3.301,13,3.299,15,24,1,24,1,3.301,3.3,3.301,3.3,3.301,3.3,3.301,3.301,3.3,3.301,3.3,3.3,3.3,3.3,3.299,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:31:55 PM,129,49.5,0,41.2,ON,ON,15,1,4.944,3.301,10,3.299,15,24,1,24,1,3.3,3.3,3.301,3.3,3.301,3.301,3.3,3.3,3.301,3.3,3.3,3.3,3.3,3.3,3.299,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:31:56 PM,130,49.5,0,41.2,ON,ON,15,1,4.944,3.301,14,3.299,15,24,1,24,1,3.3,3.3,3.301,3.3,3.3,3.3,3.301,3.301,3.301,3.3,3.3,3.3,3.3,3.301,3.299,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:31:57 PM,132,49.5,0,41.2,ON,ON,15,1,4.944,3.301,14,3.299,15,24,1,24,1,3.301,3.3,3.301,3.3,3.301,3.3,3.301,3.3,3.301,3.3,3.3,3.3,3.3,3.3,3.299,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:31:58 PM,133,49.5,0,41.2,ON,ON,15,1,4.944,3.301,12,3.299,15,24,1,24,1,3.301,3.3,3.3,3.3,3.3,3.3,3.301,3.3,3.301,3.301,3.3,3.3,3.3,3.3,3.299,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:31:59 PM,134,49.5,0,41.2,ON,ON,15,1,4.944,3.301,14,3.299,15,24,1,24,1,3.3,3.3,3.301,3.3,3.3,3.301,3.3,3.3,3.301,3.301,3.3,3.3,3.3,3.3,3.299,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:32:00 PM,135,49.5,0,41.2,ON,ON,15,1,4.944,3.301,9,3.299,15,24,1,24,1,3.3,3.3,3.301,3.3,3.3,3.301,3.3,3.3,3.301,3.301,3.3,3.3,3.3,3.3,3.299,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
4:32:01 PM,136,49.5,0,41.2,ON,ON,15,1,4.944,3.301,13,3.299,15,24,1,24,1,3.3,3.3,3.301,3.3,3.301,3.3,3.301,3.3,3.301,3.3,3.3,3.3,3.3,3.301,3.299,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
