Time,Bms_Life,SumVoltage,Current,SOC,ChgMOS,DisChgMOS,SerialNum,TempNum,RemainCap,MaxV,MaxV_No,MinV,MinV_No,MaxT,MaxT_No,MinT,MinT_No,CellV_1,CellV_2,CellV_3,CellV_4,CellV_5,CellV_6,CellV_7,CellV_8,CellV_9,CellV_10,CellV_11,CellV_12,CellV_13,CellV_14,CellV_15,Temp_1,ErrCode1,ErrCode2,ErrCode3,ErrCode4,ErrCode5,ErrCode6,ErrCode7,ErrCode8,CycleTime,DI1,DI2,DI3,DI4,DO1,DO2,DO3,DO4,BoardNum
1:41:00 PM,155,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.332,15,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.333,3.334,3.334,3.332,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:01 PM,156,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.332,15,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.333,3.334,3.334,3.332,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:02 PM,157,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.332,15,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.333,3.334,3.334,3.333,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:03 PM,158,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.333,12,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.333,3.334,3.334,3.332,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:04 PM,159,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.332,15,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.333,3.334,3.334,3.332,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:05 PM,160,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.333,12,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.333,3.334,3.334,3.333,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:06 PM,161,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.332,15,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.333,3.334,3.334,3.332,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:08 PM,163,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.332,15,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.333,3.334,3.334,3.332,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:09 PM,164,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.332,15,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.333,3.334,3.334,3.332,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:10 PM,165,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.332,15,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.332,3.334,3.334,3.332,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:11 PM,166,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.332,15,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.333,3.334,3.334,3.332,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:12 PM,167,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.332,15,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.333,3.334,3.334,3.332,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
1:41:13 PM,168,50,0,99.6,ON,ON,15,1,11.952,3.336,6,3.332,15,24,1,24,1,3.334,3.334,3.334,3.334,3.334,3.336,3.334,3.334,3.334,3.334,3.335,3.332,3.334,3.334,3.332,24,0,0,0,0,0,0,0,0,0,OFF,ON,OFF,OFF,OFF,OFF,OFF,OFF,1
